Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Suspended Entry Date,Terminated Date,Terminated Entry Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date
Toronto,Toronto C01,Waterfront Communities C1,1955,,12,317,15,Brunel,15 Brunel Crt 317Â Toronto,M5V 3Y6,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,2024-06-10 0:00,Sold,E,Y,1,Owned,"Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",446.24,2265.33,C7006512,9/16/2023,659000,599000,599000,599000,100,12/28/2023,2/7/2024,103,Prev. Listing,,,,,129550000,,BAY STREET GROUP INC.,9/16/2023,"CENTURY 21 ATRIA REALTY INC., BROKERAGE",1/3/2024
Toronto,Toronto C01,Waterfront Communities C1,1836,,13,1913,18,Yonge,18 Yonge St 1913Â Toronto,M5E 1Z8,1,1,1Â +Â 1,2,2,Open,Condo AptÂ Apartment,600-699,,Sold,W,,1,,"Exercise Room, Indoor Pool, Recreation Room, Sauna, Security Guard",500.07,2594.84,C7324864,11/27/2023,614000,610000,614000,610000,99,1/2/2024,3/4/2024,36,Mpac,,,,,128630000,,REAL BROKER ONTARIO LTD.,11/27/2023,"BRAD J. LAMB REALTY INC., BROKERAGE",1/5/2024
Toronto,Toronto C01,Niagara,2302,The Bridge,1,1601,38,Joe Shuster,38 Joe Shuster Way 1601Â Toronto,M6K 0A5,1,1,1Â +Â 1,2,2,Open,Condo AptÂ Apartment,700-799,,TER,Se,Y,1,,"Concierge, Guest Suites, Gym, Indoor Pool",577.78,2285,C7213190,10/12/2023,618880,618880,618880,,,,,84,Mpac,,,1/4/2024,1/5/2024,763020514,1.90E+14,PROMAXX ELITE REALTY,10/12/2023,,1/5/2024
Toronto,Toronto C01,Bay Street Corridor,2444,,1,Lph3401,75,St Nicholas,75 St Nicholas St Lph3401Â Toronto,M4Y 0A5,0,,0,0,1,Open,Condo AptÂ Apartment,0-499,,EXP,E,,1,,"Concierge, Gym, Media Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",467.2,2388.71,C6633228,7/4/2023,619880,619880,619880,,,,,180,From Builder,,,,,764440066,1.90E+14,GOLDEN LIFE REALTY LTD.,7/4/2023,,1/1/2024
Toronto,Toronto C01,Waterfront Communities C1,288,,13,1434,33,Harbour,33 Harbour Sq 1434Â Toronto,M5J 2G2,1,,1,1,1,Open,Condo AptÂ Other,600-699,,Sold,Nw,Y,1,Exclusive,"Concierge, Exercise Room, Indoor Pool, Sauna, Security Guard, Security System",713.69,2551.83,C7357912,12/15/2023,650000,620000,650000,620000,95,1/3/2024,2/1/2024,19,Rfar,,,,,112880000,1.90E+14,RE/MAX METROPOLIS REALTY,12/15/2023,"DWELLY REALTY INC., BROKERAGE",1/4/2024
Toronto,Toronto C01,Little Portugal,2448,,12,1215W,36,Lisgar,36 Lisgar St 1215WÂ Toronto,M6J 0C7,2,,2,2,2,Open,Condo AptÂ Apartment,500-599,2024-06-10 0:00,EXP,W,Y,1,Owned,"Bike Storage, Concierge, Gym, Party/Meeting Room, Visitor Parking",589,1985.5,C7252750,10/27/2023,625000,625000,625000,,,,,66,Floorplan,,,,,764480563,1.90E+14,BOSLEY REAL ESTATE LTD.,10/26/2023,,1/1/2024
Toronto,Toronto C01,Waterfront Communities C1,2691,Exchange Condo,34,911,90,Queens Wharf,90 Queens Wharf Rd 911Â Toronto,M5V 0J4,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,0-5,SUS,N,,1,,"Bike Storage, Concierge, Exercise Room, Gym, Indoor Pool, Visitor Parking",400,2237,C7280104,11/7/2023,650000,628000,628000,,,,,57,Per Floor Plan,1/3/2024,1/3/2024,,,213940228,,RE/MAX DYNAMICS REALTY,11/7/2023,,1/3/2024
Toronto,Toronto C01,Niagara,2302,The Bridge,26,926,38,Joe Shuster,38 Joe Shuster Way 926Â Toronto,M6K 0A5,2,,2,2,1,Open,Condo AptÂ Apartment,600-699,,EXP,Ne,,0,Owned,"Concierge, Exercise Room, Indoor Pool",522.02,2052.12,C7240316,10/23/2023,629000,629000,629000,,,,,69,675Sqft As Per Mpac,,,,,763020336,1.90E+14,ROYAL LEPAGE SIGNATURE REALTY,10/23/2023,,1/1/2024
Toronto,Toronto C01,Waterfront Communities C1,2376,,6,1106,560,King,560 King St W 1106Â Toronto,M5V 1M3,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,,EXP,N,,0,Owned,"Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",441.05,0,C7060502,10/5/2023,629000,629000,629000,,,,,88,Seller,,,,,212390463,,REALTY WEALTH GROUP INC.,10/5/2023,,1/2/2024
Toronto,Toronto C01,Niagara,2150,,10,1510,135,East Liberty,135 East Liberty St 1510Â Toronto,M6K 3P6,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,,EXP,E,,0,Owned,"Concierge, Gym, Party/Meeting Room, Visitor Parking",534.1,2791.69,C7223076,10/16/2023,629900,629900,629900,,,,,76,Per Builder,,,,,212990071,,SUTTON GROUP-ADMIRAL REALTY INC.,10/16/2023,,1/1/2024
